PO ZB327 - Remaining to procure from publishers (3265 ISBNs),,,,,,,,,,,,,,,,,,,,,,,
Not available/profitable on Amazon. Publisher names recovered from Amazon scrape & merged across variants. Sorted biggest publisher first.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
#,ISBN,Title,PO Price (USD),REMARKS,,,,,,,,Merged Publisher,,,,,,,,,,,Group #books
2530,9798249357542,BOI Report & Compliance 2026,$25.32,,https://www.abebooks.co.uk/9798249357542/BOI-Report-Compliance-2026-Alava/plp,,,,,,,(unknown),,,,,,,,,,,
250,9798249548674,PRONTUARIO DI POLIZIA GIUDIZIARIA (Italian Edition),$25.32,,,,,,,,,Independently Published,,,,,,,,,,,145
326,9798233527166,The Astronomer's Sister: Sophie Brahe,$25.32,,,,,,,,,Michael Webster,,,,,,,,,,,78
350,9798215473719,The Man Who Found the Tape: Frank Wills,$25.32,,,,,,,,,Michael Webster,,,,,,,,,,,78
356,9798233136498,The Man Who Taught the World to Count: William Farr,$25.32,,,,,,,,,Michael Webster,,,,,,,,,,,78
362,9798232014032,The Pioneer of Calabar: Mary Slessor,$25.32,,,,,,,,,Michael Webster,,,,,,,,,,,78
368,9798233529634,The Scientist and the Humanitarian: Dr. Mary-Claire King,$25.32,,,,,,,,,Michael Webster,,,,,,,,,,,78
370,9798233291012,The Scurvy Cure: The Life of James Lind,$25.32,,,,,,,,,Michael Webster,,,,,,,,,,,78
378,9798233014093,The Woman Who Walked All Over Creation: Zora Neale Hurston,$25.32,,,,,,,,,Michael Webster,,,,,,,,,,,78
1302,9798233199943,Dantes Inferno (French Edition),$25.32,,,,,,,,,Cosmo Edition,,,,,,,,,,,11
1304,9798232900311,Ethics in Action,$25.32,,,,,,,,,Cosmo Edition,,,,,,,,,,,11
1309,9798233402333,Tragédie grecque (roman) (French Edition),$25.32,,,,,,,,,Cosmo Edition,,,,,,,,,,,11
1544,9798233117770,Cessna 172 Manual operativo (Aviación) (Spanish Edition),$25.32,,,,,,,,,Aviation Bookstore,,,,,,,,,,,4
1546,9798231407828,Teoría de vuelo IFR (Aviación) (Spanish Edition),$25.32,,,,,,,,,Aviation Bookstore,,,,,,,,,,,4
1911,9798233307737,Between Love and Power,$25.32,,,,,,,,,Arden Veycroft,,,,,,,,,,,1
2435,9798232002268,Goat: The Lionel Messi Story,$25.32,,,,,,,,,William Parker,,,,,,,,,,,1
2654,9798277731369,"ENHANCED RAG MADE SIMPLE: A Beginner-Friendly Guide to Improving AI Accuracy with Better Retrieval, Vector Search, and Knowledge Integration",$25.32,,,,,,,,,(unknown),,,,,,,,,,,
2757,9798233664243,IFR-Flugtheorie (Aviation) (German Edition),$25.32,,,,,,,,,(unknown),,,,,,,,,,,
3029,9798259052727,"Second Street Morning: The Borden Murders, the Locked-House Illusion, and the Case That Never Closed",$25.32,,,,,,,,,(unknown),,,,,,,,,,,
3228,9781534969704,Women in Love,$25.32,,,,,,,,,(unknown),,,,,,,,,,,
209,9798901946251,"Gulfstream: Speed, Status, and the Long-Thin Market",$25.00,,https://www.ebay.co.uk/itm/298569926881,,,,,,,Independently Published,,,,,,,,,,,145
2215,9783758322990,Deutsch C1 Hochschule - Deutsch C1 * 90 Zitate für die mündliche Prüfung: Übersetzt ins Englische - Persische- Türkische- Ukrainische und Russische (German Edition),$25.00,,https://www.amazon.co.uk/Deutsch-Hochschule-Persische-T%C3%BCrkische-Ukrainische/dp/3758322995,,,,,,,Books on Demand,,,,,,,,,,,1
2611,9781472641205,Crux Signed Edition,$25.00,,https://www.amazon.co.uk/Crux-Signed-Gabriel-Tallent/dp/1472641205,,,,,,,(unknown),,,,,,,,,,,
172,9781923625044,Ahead of Its Time: The Porsche 959 Story,$25.00,,,,,,,,,Independently Published,,,,,,,,,,,145
173,9781923570764,Airbus: Building Europe's Airliner Empire,$25.00,,,,,,,,,Independently Published,,,,,,,,,,,145
177,9781923570740,Atr: Turboprop Titan - The Global Story of Regional Aviation's Quiet Powerhouse,$25.00,,,,,,,,,Independently Published,,,,,,,,,,,145
182,9781923545946,Bronco Back: The Story of Ford's Off-Road Icon,$25.00,,,,,,,,,Independently Published,,,,,,,,,,,145
183,9781923593091,"COMAC Rising: C919, CR929 and China's Airliner Ambition",$25.00,,,,,,,,,Independently Published,,,,,,,,,,,145
188,9781923593237,Codebreakers: The Secret War of Intelligence,$25.00,,,,,,,,,Independently Published,,,,,,,,,,,145
189,9781923570801,Concorde: The Rise and Fall of Supersonic Passenger Flight,$25.00,,,,,,,,,Independently Published,,,,,,,,,,,145
190,9798901946244,Dassault: From Mirage to Rafale-France's Fighter Factory,$25.00,,,,,,,,,Independently Published,,,,,,,,,,,145
210,9781970852172,Hawker Siddeley: The Forgotten Giant of British Aerospace,$25.00,,,,,,,,,Independently Published,,,,,,,,,,,145
225,9781923570979,"Lancaster vs. B-17: Strategy, Strengths, Sacrifices",$25.00,,,,,,,,,Independently Published,,,,,,,,,,,145
232,9781923593701,Li Auto's Family Rocketship: The Extended-Range EV as a Category Hack,$25.00,,,,,,,,,Independently Published,,,,,,,,,,,145
240,9781923570689,"McDonnell Douglas: The Rise, the Merger, the Legacy",$25.00,,,,,,,,,Independently Published,,,,,,,,,,,145
264,9781923593817,Stellantis × Leapmotor: Europe's Backdoor to China,$25.00,,,,,,,,,Independently Published,,,,,,,,,,,145
270,9781923570931,Tenerife 1977: How Two 747s Changed Safety Forever,$25.00,,,,,,,,,Independently Published,,,,,,,,,,,145
282,9798901940099,"The Machines That Changed Air Combat: The F-86 Sabre, MiG-15, and the Jet Duel Over Korea (Blueprints of the Modern Age)",$25.00,,,,,,,,,Independently Published,,,,,,,,,,,145
2669,9780536680594,English Department Writing Guide,$25.00,,,,,,,,,(unknown),,,,,,,,,,,
3074,9781970852981,"Swap, Don't Wait: NIO and the Infrastructure-First EV Model",$25.00,,,,,,,,,(unknown),,,,,,,,,,,
2404,9798246997130,Killzone: A Vietnam War Story,$24.00,,https://www.worldofbooks.com/en-gb/products/killzone-book-j-t-maddox-9798246997130,,,,,,,Vector Zero Press,,,,,,,,,,,1
1307,9798233104657,L'Accident (French Edition),$24.00,,https://www.amazon.com/LAccident-French-Christian-Soleil/dp/129174939X/ref=tmm_pap_swatch_0,,,,,,,Cosmo Edition,,,,,,,,,,,11
2374,9781960505644,Pennsbury Pride: Alumni Share Stories of Military Service,$24.00,,https://www.amazon.com/dp/B0CH2CQR89?lv=shuf&language=es&channelId=500&plpRedirect=mhFallback,,,,,,,Stillwater River Publications,,,,,,,,,,,1
276,9781923570146,The Continental Line: Lincoln's American Luxury,$24.00,,https://www.amazon.co.uk/Continental-Line-Lincolns-American-Luxury/dp/1923570145,,,,,,,Independently Published,,,,,,,,,,,145
175,9798247178446,"Amok & Terror – Eigensicherung und Überleben: Das Praxis-Handbuch für Notfallpläne, Taktik und Prävention in Unternehmen, Schulen und im Alltag (German Edition)",$24.00,,,,,,,,,Independently Published,,,,,,,,,,,145
202,9781923570955,"F-22 & F-35: Stealth, Software, and Sustainment",$24.00,,,,,,,,,Independently Published,,,,,,,,,,,145
213,9798271130793,Is Britain's Economy Broken?: How Labour's Rule Fuels Britain's Far-Right Revival: Keir Starmer’s Ascendancy and the UK Reform Rise,$24.00,,,,,,,,,Independently Published,,,,,,,,,,,145
236,9798278426363,MARION : Lettre de Machiavel à l'Exilée qui voulait reprendre le trône par la force (French Edition),$24.00,,,,,,,,,Independently Published,,,,,,,,,,,145
248,9798263421557,"Nvidia and the AI Power: How Nvidia’s Dominance Drives Markets, Raises Geopolitical Stakes, and Defines the Future of AI Infrastructure",$24.00,,,,,,,,,Independently Published,,,,,,,,,,,145
251,9781923570535,Paddles & Politics: Ping-Pong Diplomacy Revisited,$24.00,,,,,,,,,Independently Published,,,,,,,,,,,145
252,9781923570634,Peerless: America's Silent Luxury Rival,$24.00,,,,,,,,,Independently Published,,,,,,,,,,,145
272,9798254113126,The American Reset: Why America Wins,$24.00,,,,,,,,,Independently Published,,,,,,,,,,,145
296,9781923593121,"V-Bombers: Vulcan, Victor, Valiant-Britain's Nuclear Air Plan",$24.00,,,,,,,,,Independently Published,,,,,,,,,,,145
1300,9798233515767,"Daiyama, la Forêt des Murmures (French Edition)",$24.00,,,,,,,,,Cosmo Edition,,,,,,,,,,,11
1301,9798232941529,"Daniyama, la Forêt des Murmures",$24.00,,,,,,,,,Cosmo Edition,,,,,,,,,,,11
1305,9798232375904,"Fortuna, Jules César face à son destin",$24.00,,,,,,,,,Cosmo Edition,,,,,,,,,,,11
1306,9798232901684,Histoire de la mélancolie (French Edition),$24.00,,,,,,,,,Cosmo Edition,,,,,,,,,,,11
1543,9798232174392,Aerodinámica de alta velocidad (Aviación) (Spanish Edition),$24.00,,,,,,,,,Aviation Bookstore,,,,,,,,,,,4
1545,9798233493515,Multimotor y CRM (Aviación) (Spanish Edition),$24.00,,,,,,,,,Aviation Bookstore,,,,,,,,,,,4
2026,9781944066291,Brian Barder’s Diplomatic Diary,$24.00,,,,,,,,,Donelson Press,,,,,,,,,,,1
2112,9798257964732,"La peste del 1630 a Bologna: In appendice: Pietro Moratti - Racconto de gli ordini e provisioni fatte ne’ Lazaretti in Bologna, e suo Contado in tempo del Contagio dell’anno 1630 (Italian Edition)",$24.00,,,,,,,,,In riga edizioni,,,,,,,,,,,1
2157,9788412387599,El materialismo militante y otros textos,$24.00,,,,,,,,,Libros Corrientes,,,,,,,,,,,1
2296,9789873729058,Platón ama a Dion. Filosofía del lenguaje en el estoicismo (Spanish Edition),$24.00,,,,,,,,,Rhesis,,,,,,,,,,,1
2455,9798278893288,1808: La primavera que faltaron flores (Imperialia — Historia Viva) (Spanish Edition),$24.00,,,,,,,,,(unknown),,,,,,,,,,,
2717,9798245922515,"Guide de l'utilisateur d'Autodesk Fusion 360 pour débutants: Un manuel pratique du débutant au professionnel sur la CAO, la FAO, la simulation et la fabrication (French Edition)",$24.00,,,,,,,,,(unknown),,,,,,,,,,,
2896,9781838355807,No somos tan malos (Spanish Edition),$24.00,,,,,,,,,(unknown),,,,,,,,,,,
2955,9798235216648,"Philosophy of Science: The Foundations of Scientific Knowledge, Including the Demarcation Problem, Falsification, Paradigm Shifts, and the Debate over ... Discovers Truth (Philosophical Movements)",$24.00,,,,,,,,,(unknown),,,,,,,,,,,
2980,9798279310456,ROBO-GRANDCHILDREN: Technology And Care In An Aging World,$24.00,,,,,,,,,(unknown),,,,,,,,,,,
3007,9798279294008,SECRETS BENEATH THE SURFACE: Life in the Ocean’s Hidden World,$24.00,,,,,,,,,(unknown),,,,,,,,,,,
3048,9783642026560,Software Composition,$24.00,,,,,,,,,(unknown),,,,,,,,,,,
3090,9798257382888,"THE LOCK PICKING ESSENTIAL GUIDE: Practical Blueprint for Understanding Pin Tumblers, Decoding Cylinders, and Mastering the Art of Locksport",$24.00,,,,,,,,,(unknown),,,,,,,,,,,
3148,9798244045284,The New World Order: The Impact of social Media on New World Order,$24.00,,,,,,,,,(unknown),,,,,,,,,,,
2106,9781684059553,BLOOM COUNTY LIBRARY,$23.94,,,,,,,,,IDW Publishing,,,,,,,,,,,1
1919,9781997503101,"بالشت پَرم شوهر: My Husband, My Feather Pillow (Persian Edition)",$23.00,,https://www.abebooks.com/book-search/isbn/9781997503101/,,,,,,,Asemana Books,,,,,,,,,,,1
214,9781923525207,"Italian Café Culture & Scooters: Vespa, Lambretta, and the Postwar Mobility Boom in Italy",$23.00,,,,,,,,,Independently Published,,,,,,,,,,,145
1992,9781972884003,American Soccer Cartel: The System Rigged America’s World Cup Chances (DASH Research Series),$23.00,,,,,,,,,Cinderpoint Press,,,,,,,,,,,1
2015,9781966625728,Six Against Tyranny: The Tablet of Omainu,$23.00,,,,,,,,,Defiance Press & Publishing,,,,,,,,,,,1
2192,9781957840451,Brave River,$23.00,,,,,,,,,Mouthfeel Press,,,,,,,,,,,1
3149,9781983788444,The Old Curiosity Shop,$23.00,,,,,,,,,(unknown),,,,,,,,,,,
2072,9783961325252,"Vorderes Zillertal, Achensee - Alpbachtal, Wildschönau = Vorderes Zillertal, Achensee - Alpbachtal, Wildschönau",$22.80,,https://www.amazon.com/dp/3961325251?lv=shuf&language=he&channelId=500&plpRedirect=mhFallback,,,,,,,Freytag-Berndt,,,,,,,,,,,1
3123,9798223087397,The Dominant One,$22.80,,https://www.amazon.com/Dominant-One-Bending-Suspense-Horror/dp/B0CJLL2BPH/ref=tmm_pap_swatch_0,,,,,,,(unknown),,,,,,,,,,,
2752,9798231587964,"I, BERNAL DÍAZ DEL CASTILLO My True History of the Conquest of New Spain",$22.80,,https://www.amazon.com/BERNAL-D%C3%8DAZ-DEL-CASTILLO-Historical/dp/B0DHLNC1VR/ref=tmm_pap_swatch_0,,,,,,,(unknown),,,,,,,,,,,
372,9798232479244,The Stranger of Konya: Shams-i-Tabrizi,$22.80,,https://www.amazon.co.uk/Stranger-Konya-Shams-i-Tabrizi-Michael-Webster/dp/B0G36TH252,,,,,,,Michael Webster,,,,,,,,,,,78
227,9798258119377,"Last Shift on Crawfordsville Road: The Unsolved Murders of Four Burger Chef Workers in Speedway, Indiana",$22.80,,https://www.amazon.co.uk/Last-Shift-Crawfordsville-Road-Unsolved/dp/B0GXW9XVLY,,,,,,,Independently Published,,,,,,,,,,,145
2413,9798227234940,Basic English in 30 Days (English from A1 to C1),$22.80,,https://www.amazon.co.uk/Basic-English-30-Days-A1/dp/B0DKVBCKZV,,,,,,,Vladyslav Obzha,,,,,,,,,,,1
2045,9789878928395,La gravedad y la gracia (Spanish Edition),$22.80,,https://www.abebooks.de/gravedad-gracia-Weil-Simone-D%C3%ADaz-Gallinal/32373470465/bd,,,,,,,"Editorial Trotta, S.A.",,,,,,,,,,,1
271,9798247730293,"The Agentic Internet: Identity, Reputation, and Risk for Machine Users",$22.80,,,,,,,,,Independently Published,,,,,,,,,,,145
301,9798233858215,A Life in Balance: Dr. Elsie Widdowson,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
310,9798232588434,"One Life, Two Careers: Harriet Quimby",$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
314,9798231199266,"Queen Bess, The Sky's First Lady: Bessie Coleman",$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
315,9798232491413,Seeing the Invisible: Dr. Paul Lauterbur,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
318,9798233985652,The Arc and the Vote: Hertha Ayrton,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
320,9798232767570,The Architect of Inheritance: Thomas Hunt Morgan,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
321,9798224072866,The Architect of Measured Industry: Henri Tresca,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
324,9798232864040,The Architect of the Digital Age: Maurice Wilkes,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
327,9798233270772,The Blueprint of the Molecular World: William N. Lipscomb,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
330,9798232286866,The Doctor Who Gave Second Chances: Dr. Joseph Murray,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
331,9798215787656,The Electric Wind: William Kamkwamba,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
333,9798232732172,The Engine of Life: William Harvey,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
335,9798233264832,The Evolutionary Bridge: Theodosius Dobzhansky,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
336,9798233773686,The Father of the Silent Service: John P. Holland,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
337,9798232825355,The First Auteur: Alice Guy-Blaché,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
340,9798231767298,The Harlem Paradox: Harlem Hellfighters 369th Infantry,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
341,9798233254239,The Heart of the Matter: Dr. Daniel Hale Williams,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
345,9798232155407,The Jurist Who Met the Vikings: The Journey of Ahmad ibn Fadlan,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
347,9798232827199,The Late Bloom: Ynes Mexia,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
348,9798231227846,The Man Who Armed a Movement with Truth: Dr. Charles S. Johnson,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
351,9798232844035,The Man Who Made the Future: Leo Baekeland,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
357,9798232892487,The Man Who United the Universe: James Clerk Maxwell,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
361,9798232885373,The Only Female Emperor of China: Wu Zetian,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
367,9798215112380,The Rocket Chemist: Mary Sherman Morgan,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
371,9798233010323,The Star-Gazing Chemist: Sir William Huggins,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
374,9798232505783,The Ultimate Tinkerer: William Lear,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
377,9798232925758,The Woman Who Outsmarted the Experts: Zelia Nuttall,$22.80,,,,,,,,,Michael Webster,,,,,,,,,,,78
1428,9798232270124,સ્પંદન (Gujarati Edition),$22.80,,,,,,,,,Nirmohi Publication,,,,,,,,,,,7
1618,9789403705774,German Vocabulary Builder: Learn 10 German Words a Day for 7 Weeks A Comprehensive Guide for Children and Beginners to Learn German Learn German Language,$22.80,,,,,,,,,de Fryske Wrald,,,,,,,,,,,3
1913,9798232137472,Taken on October 7 A Survivor's Testament,$22.80,,,,,,,,,Ariel Ben-Ami,,,,,,,,,,,1
2452,9798258611673,"1000+ Whys Kids Book: Real Answers, Surprising Facts and Mind-Blowing Discoveries About Science, Space, Animals, Nature, and the World for Curious Kids (Ages 6-12)",$22.80,,,,,,,,,(unknown),,,,,,,,,,,
2539,9798253995778,"Before Midnight on Anderson Lane: The 1991 Yogurt Shop Murders, False Confessions, and the DNA Breakthrough That Rewrote the Case",$22.80,,,,,,,,,(unknown),,,,,,,,,,,
2547,9798268937398,"Blockchain DApp Development with Truffle and Solidity: Build Secure, Reliable, and Gas-Efficient Decentralized Applications (NextGen Codex)",$22.80,,,,,,,,,(unknown),,,,,,,,,,,
2586,9798262459186,Civil Unrest: A Practical Survival Guide,$22.80,,,,,,,,,(unknown),,,,,,,,,,,
2604,9798248096787,Constitutional and Administrative Law: A Concise Introduction to Public Authority and Administrative Justice,$22.80,,,,,,,,,(unknown),,,,,,,,,,,
2690,9798259228306,France Before the Fall: How Inequality and Poor Decisions Ignited the French Revolution Under Louis XVI,$22.80,,,,,,,,,(unknown),,,,,,,,,,,
2775,9798291943137,Ireland Tour Essentials,$22.80,,,,,,,,,(unknown),,,,,,,,,,,
2800,9798255828395,"LASER-GRBL USER GUIDE 2026: Learn Parameters, Workflows, and Practical Tips for Accurate Engravings (German Edition)",$22.80,,,,,,,,,(unknown),,,,,,,,,,,
3070,9798277772935,"Superheroes of American History: True Inspiring Stories and Facts for Kids to Discover Courage, Kindness, and the Heroes Who Shaped America",$22.80,,,,,,,,,(unknown),,,,,,,,,,,
3138,9798243104487,"The Legal System of Northern Ireland: An Essential Guide to the Law, Constitutional Governance, and Legal Institutions of Northern Ireland",$22.80,,,,,,,,,(unknown),,,,,,,,,,,
3139,9798233946592,The Liquid of Life: Dr. Charles Drew,$22.80,,,,,,,,,(unknown),,,,,,,,,,,
3170,9798254926351,The Unwritten Rulebook: Strategic Insights For Special Education Directors,$22.80,,,,,,,,,(unknown),,,,,,,,,,,
3174,9798261770640,The Zorg: How a Brutal Slave Ship's Massacre of Innocents Ignited the Greatest Moral Revolution in History,$22.80,,,,,,,,,(unknown),,,,,,,,,,,
3222,9798272392022,WW2: HITLER’S BIGGEST BLUNDERS: THE UNTOLD STORY OF HOW THE THIRD REICH BEGAN TO FALL,$22.80,,,,,,,,,(unknown),,,,,,,,,,,
2012,9781616559113,The Art of Mirror's Edge: Catalyst,$22.67,,,,,,,,,Dark Horse Comics,,,,,,,,,,,1
255,9781923432055,Race Wars: The Transatlantic Rivalry,$22.00,,,,,,,,,Independently Published,,,,,,,,,,,145
2009,9781962896795,An American Girl,$22.00,,,,,,,,,Cutting Edge Books,,,,,,,,,,,1
2167,9798233084690,Cena Za Iluzi (Czech Edition),$22.00,,,,,,,,,Lubomir Jano,,,,,,,,,,,1
2440,9781914002649,A Jew in Hitler’s Army: The Story of Tony Chuwen,$22.00,,,,,,,,,Words By Design,,,,,,,,,,,1
2966,9788478017294,Problemas de Hidráulica para riegos,$22.00,,,,,,,,,(unknown),,,,,,,,,,,
1905,9798233073472,The Sign of Four: Dyslexia-Friendly Edition,$21.48,,https://www.amazon.com/SIGN-FOUR-DYSLEXIA-FRIENDLY-ARTHUR-CONAN-DOYLE/dp/B0CL7RGZJ1/ref=tmm_pap_swatch_0,,,,,,,Angry Swan Press,,,,,,,,,,,1
1634,9798305355406,Tiefe Wolken (German Edition),$21.48,,https://www.amazon.com/dp/B0DXD27TR4?lv=shuf&channelId=500&plpRedirect=mhFallback,,,,,,,NA ONE PRESS,,,,,,,,,,,3
2516,9798309472451,Anansi and The First Jamaicans: Taino Tales: Discovering Jamaica,$21.48,,https://www.amazon.com/dp/B0DWFS2X35?lv=shuf&language=zh_TW&channelId=500&plpRedirect=mhFallback,,,,,,,(unknown),,,,,,,,,,,
3127,9798397359597,The First Time Traveller's Guide to Ireland: A Complete Pocket Travel Guide to Discover Ireland,$21.48,,https://www.amazon.com/dp/B0C6VZ7J6V?lv=shuf&channelId=500&plpRedirect=mhFallback,,,,,,,(unknown),,,,,,,,,,,
2466,9798232600211,A Christmas Carol: Dyslexia-Friendly Edition,$21.48,,https://www.amazon.com/CHRISTMAS-CAROL-PROSE-DYSLEXIA-FRIENDLY/dp/B0CDK1VD2J/ref=tmm_pap_swatch_0,,,,,,,(unknown),,,,,,,,,,,
1632,9798714881695,Nubes bajas (Spanish Edition),$21.48,,https://www.amazon.co.uk/Nubes-bajas-N%C3%BAria-A%C3%B1%C3%B3/dp/B095M37BWF,,,,,,,NA ONE PRESS,,,,,,,,,,,3
1633,9798341001121,The Dead Writer,$21.48,,https://www.amazon.co.uk/Dead-Writer-N%C3%BAria-A%C3%B1%C3%B3/dp/B0DKDR33J8,,,,,,,NA ONE PRESS,,,,,,,,,,,3
192,9798292424666,"Die große Verdrängung: Was werden Sie tun, wenn Ihr Job nicht mehr existiert? (German Edition)",$21.48,,,,,,,,,Independently Published,,,,,,,,,,,145
218,9798257450655,"L'aldilà nel Paganesimo Romano: Vita dopo la morte degli antichi romani: religione, filosofia e tradizioni sull’oltretomba (Italian Edition)",$21.48,,,,,,,,,Independently Published,,,,,,,,,,,145
1425,9798232719968,ભીતર સુધી (Gujarati Edition),$21.48,,,,,,,,,Nirmohi Publication,,,,,,,,,,,7
1427,9798231988006,સારથીનો સ્પર્શ થતાં (Gujarati Edition),$21.48,,,,,,,,,Nirmohi Publication,,,,,,,,,,,7
1603,9788126137305,Anmol Publications Pvt Ltd Basics of Photochemistry,$21.48,,,,,,,,,Anmol Publications Pvt Ltd,,,,,,,,,,,3
1638,9784824109668,Conspiracy (The Fourth Age Shadow Wars),$21.48,,,,,,,,,Next Chapter,,,,,,,,,,,3
1768,9798304465205,Library Sketches: Reflections on the would-be society,$21.48,,,,,,,,,Independent,,,,,,,,,,,2
1878,9789988953812,Little Kwame's Big Mystery,$21.48,,,,,,,,,Adwinsa Publications,,,,,,,,,,,1
2208,9789789820566,"VOICE OF NIGERIA AT THIRTY, QUO VADIS?",$21.48,,,,,,,,,Niche Media Ltd,,,,,,,,,,,1
2493,9798259251687,"AI Agents With LangChain & LangGraph for Absolute Beginners and Expert: Build Autonomous AI Systems Fast Using Python, RAG, and Multi-Agent ... and Machine Learning Mastery with Python)",$21.48,,,,,,,,,(unknown),,,,,,,,,,,
2617,9798297254947,"DECODING THE MONTANA CONSTITUTION: Articles, Amendments, And Legal Frameworks Explained",$21.48,,,,,,,,,(unknown),,,,,,,,,,,
2709,9798263772192,"Goldie Hawn: A Life of Laughter, Love, and Legacy Goldie",$21.48,,,,,,,,,(unknown),,,,,,,,,,,
2745,9789365578355,"History of Science, Technology, and Medicine in India (HISTEM)",$21.48,,,,,,,,,(unknown),,,,,,,,,,,
3085,9789390647880,TEXTBOOK ON PROBLEMATIC SOILS & THEIR MANAGEMENT,$21.36,,,,,,,,,(unknown),,,,,,,,,,,
2658,9781911477280,Ecocritical Interpretation: The AQA English Literature A Level Theory and Independence Component,$21.00,,https://www.abebooks.co.uk/Ecocritical-Interpretation-AQA-English-Literature-Level/32484228419/bd,,,,,,,(unknown),,,,,,,,,,,
2120,9798218254391,Breaking Silences: The Memoir of Hospital Corpsman HM2 John David Kerr at the Battle of Khe Sanh,$20.28,,https://www.amazon.com/dp/B0CGC52JQZ?lv=shuf&channelId=500&plpRedirect=mhFallback,,,,,,,J & a Publishing,,,,,,,,,,,1
231,9798246691878,Leonardtown and the Silent Widow: The Unsolved Murder of Henrietta Ragan and a Community Bound by Secrets (Lives and Legacies Through Time),$20.28,,https://www.abebooks.co.uk/book-search/isbn/9798246691878/n/100121501,,,,,,,Independently Published,,,,,,,,,,,145
181,9798296758781,Big B The Bully Slayer,$20.28,,,,,,,,,Independently Published,,,,,,,,,,,145
184,9798241520159,"Call Centers: System of Apparent Blame (SAB): Management, supervision, QA, and training failures in call centers—and why the real problem lies in the system",$20.28,,,,,,,,,Independently Published,,,,,,,,,,,145
195,9798247370253,El vacío existencial tiene nombre: Orfandad (Spanish Edition),$20.28,,,,,,,,,Independently Published,,,,,,,,,,,145
247,9798245814667,Non collaborativo (Italian Edition),$20.28,,,,,,,,,Independently Published,,,,,,,,,,,145
256,9798250922128,Radium Girls: The True Story of Corporate Deceit and the Women Who Fought for Modern Workplace Safety,$20.28,,,,,,,,,Independently Published,,,,,,,,,,,145
280,9798264037948,The Great Decoupling: How U.S.–China Rivalry and Economic Nationalism Are Breaking the World Apart,$20.28,,,,,,,,,Independently Published,,,,,,,,,,,145
289,9798268753554,The War to End All Wars: Ending the Lie of Human Inferiority,$20.28,,,,,,,,,Independently Published,,,,,,,,,,,145
1639,9784824109651,Conspiracy (The Fourth Age Shadow Wars),$20.28,,,,,,,,,Next Chapter,,,,,,,,,,,3
1899,9798232365738,All About Friendship: A Kid's Guide to Being a Great Friend (Knowledge Books for Kids),$20.28,,,,,,,,,Anam Rasheed,,,,,,,,,,,1
1978,9798232189792,Our Doggie Delinquents,$20.28,,,,,,,,,Celeen Pub,,,,,,,,,,,1
2051,9783907369241,Inframince / Infradünn: 036,$20.28,,,,,,,,,Engeler Urs Editor,,,,,,,,,,,1
2373,9798232192846,Facing Injustice The Story of Dr. Aafia Siddiqui,$20.28,,,,,,,,,Stephen Carver,,,,,,,,,,,1
2393,9783842011250,Sword Art Online - Novel 12,$20.28,,,,,,,,,TOKYOPOP Verlag,,,,,,,,,,,1
2672,9781536876789,Erewhon,$20.28,,,,,,,,,(unknown),,,,,,,,,,,
2693,9798268266740,From Confusion to Clarity: Understanding Crypto and DeFi Without the Hype,$20.28,,,,,,,,,(unknown),,,,,,,,,,,
2696,9789365575507,Fundamentals of Entrepreneurship and E-commerce,$20.28,,,,,,,,,(unknown),,,,,,,,,,,
2740,9798244358438,Hidden Origins of the Sacred Hand,$20.28,,,,,,,,,(unknown),,,,,,,,,,,
2876,9798257598623,My Killer Father: The Green Hollow Murders: Revealing The Shocking Family Secret Lucy Studey McKiddy Finally Broke Open After Decades of Silence,$20.28,,,,,,,,,(unknown),,,,,,,,,,,
2947,9798257467714,Paths From The Garden Within: Unveiling learning an original approach,$20.28,,,,,,,,,(unknown),,,,,,,,,,,
